date,product_name,category,mrp,cost_price,shelf_life_days,expiry_date,days_remaining,discount_pct,discounted_price,morning_price,evening_price,stock_qty,units_sold_today,is_weekend,margin_pct,revenue_today,cost_today,gross_profit_today,units_sold_7d_avg
2025-01-01,Brown Bread,Bakery,55,40,4,2025-01-05,4,0,55.0,,,30,5,0,27.3,275.0,200,75.0,5.0
2025-01-01,Burger Buns (4 pcs),Bakery,30,22,4,2025-01-05,4,0,30.0,,,28,6,0,26.7,180.0,132,48.0,6.0
2025-01-01,Ladi Pav (6 pcs),Bakery,20,14,3,2025-01-04,3,0,20.0,,,70,23,0,30.0,460.0,322,138.0,23.0
2025-01-01,White Bread,Bakery,45,32,4,2025-01-05,4,0,45.0,,,59,13,0,28.9,585.0,416,169.0,13.0
2025-01-01,Milk 1L (Toned),Dairy,66,58,2,2025-01-03,2,0,66.0,,,47,13,0,12.1,858.0,754,104.0,13.0
2025-01-01,Paneer 200g,Dairy,90,65,4,2025-01-05,4,0,90.0,,,27,3,0,27.8,270.0,195,75.0,3.0
2025-01-01,Eggs (1 Dozen),Eggs,85,68,14,2025-01-15,14,0,85.0,,,312,27,0,20.0,2295.0,1836,459.0,27.0
2025-01-01,Bananas,Fruits,60,42,5,2025-01-06,5,0,60.0,,,55,4,0,30.0,240.0,168,72.0,4.0
2025-01-01,Basmati Rice 1kg,Grocery,95,72,365,2026-01-01,365,0,95.0,,,10857,26,0,24.2,2470.0,1872,598.0,26.0
2025-01-01,Onions 1kg,Grocery,35,24,15,2025-01-16,15,0,35.0,,,453,32,0,31.4,1120.0,768,352.0,32.0
2025-01-01,Potatoes 1kg,Grocery,30,20,20,2025-01-21,20,0,30.0,,,776,38,0,33.3,1140.0,760,380.0,38.0
2025-01-01,Coriander (Bunch),Vegetables,15,8,2,2025-01-03,2,0,15.0,15.0,15.0,27,9,0,46.7,135.0,72,63.0,9.0
2025-01-01,Spinach Bunch,Vegetables,30,18,2,2025-01-03,2,0,30.0,30.0,30.0,19,13,0,40.0,390.0,234,156.0,13.0
2025-01-01,Tomatoes,Vegetables,40,28,4,2025-01-05,4,0,40.0,40.0,40.0,58,11,0,30.0,440.0,308,132.0,11.0
2025-01-02,Brown Bread,Bakery,55,40,4,2025-01-05,3,0,55.0,,,25,12,0,27.3,660.0,480,180.0,5.0
2025-01-02,Burger Buns (4 pcs),Bakery,30,22,4,2025-01-05,3,5,28.5,,,22,5,0,26.7,142.5,110,32.5,6.0
2025-01-02,Ladi Pav (6 pcs),Bakery,20,14,3,2025-01-04,2,0,20.0,,,47,17,0,30.0,340.0,238,102.0,23.0
2025-01-02,White Bread,Bakery,45,32,4,2025-01-05,3,0,45.0,,,46,12,0,28.9,540.0,384,156.0,13.0
2025-01-02,Milk 1L (Toned),Dairy,66,58,2,2025-01-03,1,10,59.4,,,34,23,0,12.1,1366.2,1334,32.2,13.0
2025-01-02,Paneer 200g,Dairy,90,65,4,2025-01-05,3,5,85.5,,,24,6,0,27.8,513.0,390,123.0,3.0
2025-01-02,Eggs (1 Dozen),Eggs,85,68,14,2025-01-15,13,0,85.0,,,285,14,0,20.0,1190.0,952,238.0,27.0
2025-01-02,Bananas,Fruits,60,42,5,2025-01-06,4,0,60.0,,,51,14,0,30.0,840.0,588,252.0,4.0
2025-01-02,Basmati Rice 1kg,Grocery,95,72,365,2026-01-01,364,0,95.0,,,10831,29,0,24.2,2755.0,2088,667.0,26.0
2025-01-02,Onions 1kg,Grocery,35,24,15,2025-01-16,14,0,35.0,,,421,32,0,31.4,1120.0,768,352.0,32.0
2025-01-02,Potatoes 1kg,Grocery,30,20,20,2025-01-21,19,0,30.0,,,738,47,0,33.3,1410.0,940,470.0,38.0
2025-01-02,Coriander (Bunch),Vegetables,15,8,2,2025-01-03,1,10,13.5,15.0,13.5,18,18,0,46.7,259.5,144,115.5,9.0
2025-01-02,Spinach Bunch,Vegetables,30,18,2,2025-01-03,1,10,27.0,30.0,27.0,6,6,0,40.0,174.0,108,66.0,13.0
2025-01-02,Tomatoes,Vegetables,40,28,4,2025-01-05,3,0,40.0,40.0,40.0,47,7,0,30.0,280.0,196,84.0,11.0
2025-01-03,Brown Bread,Bakery,55,40,4,2025-01-05,2,10,49.5,,,13,12,0,27.3,594.0,480,114.0,8.5
2025-01-03,Burger Buns (4 pcs),Bakery,30,22,4,2025-01-05,2,10,27.0,,,17,7,0,26.7,189.0,154,35.0,5.5
2025-01-03,Ladi Pav (6 pcs),Bakery,20,14,3,2025-01-04,1,10,18.0,,,30,29,0,30.0,522.0,406,116.0,20.0
2025-01-03,White Bread,Bakery,45,32,4,2025-01-05,2,10,40.5,,,34,25,0,28.9,1012.5,800,212.5,12.5
2025-01-03,Milk 1L (Toned),Dairy,66,58,2,2025-01-05,2,0,66.0,,,44,23,0,12.1,1518.0,1334,184.0,18.0
2025-01-03,Paneer 200g,Dairy,90,65,4,2025-01-05,2,5,85.5,,,18,5,0,27.8,427.5,325,102.5,4.5
2025-01-03,Eggs (1 Dozen),Eggs,85,68,14,2025-01-15,12,0,85.0,,,271,26,0,20.0,2210.0,1768,442.0,20.5
2025-01-03,Bananas,Fruits,60,42,5,2025-01-06,3,5,57.0,,,37,16,0,30.0,912.0,672,240.0,9.0
2025-01-03,Basmati Rice 1kg,Grocery,95,72,365,2026-01-01,363,0,95.0,,,10802,30,0,24.2,2850.0,2160,690.0,27.5
2025-01-03,Onions 1kg,Grocery,35,24,15,2025-01-16,13,0,35.0,,,389,29,0,31.4,1015.0,696,319.0,32.0
2025-01-03,Potatoes 1kg,Grocery,30,20,20,2025-01-21,18,0,30.0,,,691,30,0,33.3,900.0,600,300.0,42.5
2025-01-03,Coriander (Bunch),Vegetables,15,8,2,2025-01-05,2,0,15.0,15.0,15.0,27,18,0,46.7,270.0,144,126.0,13.5
2025-01-03,Spinach Bunch,Vegetables,30,18,2,2025-01-05,2,0,30.0,30.0,30.0,21,6,0,40.0,180.0,108,72.0,9.5
2025-01-03,Tomatoes,Vegetables,40,28,4,2025-01-05,2,10,36.0,40.0,36.0,40,17,0,30.0,652.0,476,176.0,9.0
