date,product_name,category,mrp,cost_price,shelf_life_days,expiry_date,days_remaining,discount_pct,discounted_price,morning_price,evening_price,stock_qty,units_sold_today,is_weekend,margin_pct,revenue_today,cost_today,gross_profit_today,units_sold_7d_avg
2025-01-01,Brown Bread,Bakery,55,40,4,2025-01-05,3.698,0,55.0,,,35,9,0,27.3,495.0,360,135.0,9.0
2025-01-01,Burger Buns (4 pcs),Bakery,30,22,4,2025-01-05,3.708,0,30.0,,,26,5,0,26.7,150.0,110,40.0,5.0
2025-01-01,Ladi Pav (6 pcs),Bakery,20,14,3,2025-01-04,2.791,0,20.0,,,77,22,0,30.0,440.0,308,132.0,22.0
2025-01-01,White Bread,Bakery,45,32,4,2025-01-05,3.276,0,45.0,,,72,12,0,28.9,540.0,384,156.0,12.0
2025-01-01,Milk 1L (Toned),Dairy,66,58,2,2025-01-03,1.727,0,66.0,,,38,20,0,12.1,1320.0,1160,160.0,20.0
2025-01-01,Paneer 200g,Dairy,90,65,4,2025-01-05,3.814,0,90.0,,,23,2,0,27.8,180.0,130,50.0,2.0
2025-01-01,Eggs (1 Dozen),Eggs,85,68,14,2025-01-15,13.895,0,85.0,,,346,14,0,20.0,1190.0,952,238.0,14.0
2025-01-01,Bananas,Fruits,60,42,5,2025-01-06,4.038,0,60.0,,,54,11,0,30.0,660.0,462,198.0,11.0
2025-01-01,Basmati Rice 1kg,Grocery,95,72,365,2026-01-01,364.603,0,95.0,,,11515,26,0,24.2,2470.0,1872,598.0,26.0
2025-01-01,Onions 1kg,Grocery,35,24,15,2025-01-16,14.32,0,35.0,,,483,22,0,31.4,770.0,528,242.0,22.0
2025-01-01,Potatoes 1kg,Grocery,30,20,20,2025-01-21,19.134,0,30.0,,,780,33,0,33.3,990.0,660,330.0,33.0
2025-01-01,Coriander (Bunch),Vegetables,15,8,2,2025-01-03,1.135,5,14.25,15.0,14.25,23,13,0,46.7,191.25,104,87.25,13.0
2025-01-01,Spinach Bunch,Vegetables,30,18,2,2025-01-03,1.279,0,30.0,30.0,30.0,23,13,0,40.0,390.0,234,156.0,13.0
2025-01-01,Tomatoes,Vegetables,40,28,4,2025-01-05,3.561,0,40.0,40.0,40.0,58,16,0,30.0,640.0,448,192.0,16.0
2025-01-02,Brown Bread,Bakery,55,40,4,2025-01-05,2.698,0,55.0,,,26,5,0,27.3,275.0,200,75.0,9.0
2025-01-02,Burger Buns (4 pcs),Bakery,30,22,4,2025-01-05,2.708,0,30.0,,,21,4,0,26.7,120.0,88,32.0,5.0
2025-01-02,Ladi Pav (6 pcs),Bakery,20,14,3,2025-01-04,1.791,0,20.0,,,55,19,0,30.0,380.0,266,114.0,22.0
2025-01-02,White Bread,Bakery,45,32,4,2025-01-05,2.276,5,42.75,,,60,14,0,28.9,598.5,448,150.5,12.0
2025-01-02,Milk 1L (Toned),Dairy,66,58,2,2025-01-03,0.727,10,59.4,,,18,18,0,12.1,1069.2,1044,25.2,20.0
2025-01-02,Paneer 200g,Dairy,90,65,4,2025-01-05,2.814,0,90.0,,,21,8,0,27.8,720.0,520,200.0,2.0
2025-01-02,Eggs (1 Dozen),Eggs,85,68,14,2025-01-15,12.895,0,85.0,,,332,21,0,20.0,1785.0,1428,357.0,14.0
2025-01-02,Bananas,Fruits,60,42,5,2025-01-06,3.038,5,57.0,,,43,15,0,30.0,855.0,630,225.0,11.0
2025-01-02,Basmati Rice 1kg,Grocery,95,72,365,2026-01-01,363.603,0,95.0,,,11489,19,0,24.2,1805.0,1368,437.0,26.0
2025-01-02,Onions 1kg,Grocery,35,24,15,2025-01-16,13.32,0,35.0,,,461,41,0,31.4,1435.0,984,451.0,22.0
2025-01-02,Potatoes 1kg,Grocery,30,20,20,2025-01-21,18.134,0,30.0,,,747,23,0,33.3,690.0,460,230.0,33.0
2025-01-02,Coriander (Bunch),Vegetables,15,8,2,2025-01-03,0.135,20,12.0,15.0,12.0,10,10,0,46.7,138.0,80,58.0,13.0
2025-01-02,Spinach Bunch,Vegetables,30,18,2,2025-01-03,0.279,40,18.0,30.0,18.0,10,10,0,40.0,252.0,180,72.0,13.0
