date,product_name,mrp,cost_price,current_price,discount_pct,stock_qty,days_to_expiry,units_sold_today,is_weekend,margin_pct,profit_per_unit,revenue_today,profit_today,units_sold_7d_avg,waste_if_unsold,loss_if_expired
2025-01-01,Bananas,60,42,60.0,0,52,5,14,0,30.0,18.0,840.0,252.0,14.0,0,0
2025-01-02,Bananas,60,42,60.0,0,38,4,8,0,30.0,18.0,480.0,144.0,14.0,0,0
2025-01-03,Bananas,60,42,60.0,0,30,3,11,0,30.0,18.0,660.0,198.0,11.0,0,0
2025-01-04,Bananas,60,42,54.0,10,19,2,19,1,30.0,12.0,1026.0,228.0,11.0,0,0
2025-01-05,Bananas,60,42,60.0,0,49,5,10,1,30.0,18.0,600.0,180.0,13.0,0,0
2025-01-06,Bananas,60,42,60.0,0,39,4,5,0,30.0,18.0,300.0,90.0,12.4,0,0
2025-01-07,Bananas,60,42,60.0,0,34,3,19,0,30.0,18.0,1140.0,342.0,11.17,0,0
2025-01-08,Bananas,60,42,48.0,20,15,2,15,0,30.0,6.0,720.0,90.0,12.29,0,0
2025-01-09,Bananas,60,42,60.0,0,47,5,9,0,30.0,18.0,540.0,162.0,12.43,0,0
2025-01-10,Bananas,60,42,60.0,0,38,4,5,0,30.0,18.0,300.0,90.0,12.57,0,0
2025-01-11,Bananas,60,42,60.0,0,33,3,16,1,30.0,18.0,960.0,288.0,11.71,0,0
2025-01-12,Bananas,60,42,54.0,10,17,2,8,1,30.0,12.0,432.0,96.0,11.29,0,0
2025-01-13,Bananas,60,42,48.0,20,9,1,9,0,30.0,6.0,432.0,54.0,11.0,0,0
2025-01-14,Bananas,60,42,60.0,0,62,5,6,0,30.0,18.0,360.0,108.0,11.57,0,0
2025-01-15,Bananas,60,42,60.0,0,56,4,10,0,30.0,18.0,600.0,180.0,9.71,0,0
2025-01-16,Bananas,60,42,60.0,0,46,3,8,0,30.0,18.0,480.0,144.0,9.0,0,0
2025-01-17,Bananas,60,42,54.0,10,38,2,17,0,30.0,12.0,918.0,204.0,8.86,0,0
2025-01-18,Bananas,60,42,54.0,10,21,1,21,1,30.0,12.0,1134.0,252.0,10.57,0,0
2025-01-19,Bananas,60,42,60.0,0,47,5,10,1,30.0,18.0,600.0,180.0,11.29,0,0
2025-01-20,Bananas,60,42,60.0,0,37,4,13,0,30.0,18.0,780.0,234.0,11.57,0,0
2025-01-21,Bananas,60,42,60.0,0,24,3,4,0,30.0,18.0,240.0,72.0,12.14,0,0
2025-01-22,Bananas,60,42,54.0,10,20,2,18,0,30.0,12.0,972.0,216.0,11.86,0,0
2025-01-23,Bananas,60,42,54.0,10,2,1,2,0,30.0,12.0,108.0,24.0,13.0,0,0
2025-01-24,Bananas,60,42,60.0,0,52,5,16,0,30.0,18.0,960.0,288.0,12.14,0,0
2025-01-25,Bananas,60,42,60.0,0,36,4,15,1,30.0,18.0,900.0,270.0,12.0,0,0
2025-01-26,Bananas,60,42,60.0,0,21,3,13,1,30.0,18.0,780.0,234.0,11.14,0,0
2025-01-27,Bananas,60,42,57.0,5,8,2,8,0,30.0,15.0,456.0,120.0,11.57,0,0
2025-01-28,Bananas,60,42,60.0,0,62,5,14,0,30.0,18.0,840.0,252.0,10.86,0,0
2025-01-29,Bananas,60,42,60.0,0,48,4,17,0,30.0,18.0,1020.0,306.0,12.29,0,0
2025-01-30,Bananas,60,42,60.0,0,31,3,9,0,30.0,18.0,540.0,162.0,12.14,0,0
2025-01-31,Bananas,60,42,36.0,40,22,2,16,0,30.0,-6.0,576.0,-96.0,13.14,0,0
2025-02-01,Bananas,60,42,57.0,5,6,1,6,1,30.0,15.0,342.0,90.0,13.14,0,0
2025-02-02,Bananas,60,42,60.0,0,55,5,9,1,30.0,18.0,540.0,162.0,11.86,0,0
2025-02-03,Bananas,60,42,60.0,0,46,4,6,0,30.0,18.0,360.0,108.0,11.29,0,0
2025-02-04,Bananas,60,42,60.0,0,40,3,3,0,30.0,18.0,180.0,54.0,11.0,0,0
2025-02-05,Bananas,60,42,60.0,0,37,2,10,0,30.0,18.0,600.0,180.0,9.43,0,0
2025-02-06,Bananas,60,42,54.0,10,27,1,14,0,30.0,12.0,756.0,168.0,8.43,13,546
2025-02-07,Bananas,60,42,60.0,0,62,5,8,0,30.0,18.0,480.0,144.0,9.14,0,0
2025-02-08,Bananas,60,42,60.0,0,54,4,9,1,30.0,18.0,540.0,162.0,8.0,0,0
2025-02-09,Bananas,60,42,60.0,0,45,3,13,1,30.0,18.0,780.0,234.0,8.43,0,0
2025-02-10,Bananas,60,42,54.0,10,32,2,21,0,30.0,12.0,1134.0,252.0,9.0,0,0
2025-02-11,Bananas,60,42,48.0,20,11,1,11,0,30.0,6.0,528.0,66.0,11.14,0,0
2025-02-12,Bananas,60,42,60.0,0,46,5,11,0,30.0,18.0,660.0,198.0,12.29,0,0
2025-02-13,Bananas,60,42,60.0,0,35,4,11,0,30.0,18.0,660.0,198.0,12.43,0,0
2025-02-14,Bananas,60,42,60.0,0,24,3,14,0,30.0,18.0,840.0,252.0,12.0,0,0
2025-02-15,Bananas,60,42,42.0,30,10,2,10,1,30.0,0.0,420.0,0.0,12.86,0,0
2025-02-16,Bananas,60,42,60.0,0,60,5,16,1,30.0,18.0,960.0,288.0,13.0,0,0
2025-02-17,Bananas,60,42,60.0,0,44,4,12,0,30.0,18.0,720.0,216.0,13.43,0,0
2025-02-18,Bananas,60,42,60.0,0,32,3,3,0,30.0,18.0,180.0,54.0,12.14,0,0
2025-02-19,Bananas,60,42,48.0,20,29,2,21,0,30.0,6.0,1008.0,126.0,11.0,0,0
2025-02-20,Bananas,60,42,54.0,10,8,1,8,0,30.0,12.0,432.0,96.0,12.43,0,0
2025-02-21,Bananas,60,42,60.0,0,48,5,7,0,30.0,18.0,420.0,126.0,12.0,0,0
2025-02-22,Bananas,60,42,60.0,0,41,4,13,1,30.0,18.0,780.0,234.0,11.0,0,0
2025-02-23,Bananas,60,42,60.0,0,28,3,12,1,30.0,18.0,720.0,216.0,11.43,0,0
2025-02-24,Bananas,60,42,54.0,10,16,2,12,0,30.0,12.0,648.0,144.0,10.86,0,0
2025-02-25,Bananas,60,42,42.0,30,4,1,4,0,30.0,0.0,168.0,0.0,10.86,0,0
2025-02-26,Bananas,60,42,60.0,0,56,5,9,0,30.0,18.0,540.0,162.0,11.0,0,0
2025-02-27,Bananas,60,42,60.0,0,47,4,12,0,30.0,18.0,720.0,216.0,9.29,0,0
2025-02-28,Bananas,60,42,60.0,0,35,3,10,0,30.0,18.0,600.0,180.0,9.86,0,0
2025-03-01,Bananas,60,42,60.0,0,25,2,15,1,30.0,18.0,900.0,270.0,10.29,0,0
2025-03-02,Bananas,60,42,54.0,10,10,1,10,1,30.0,12.0,540.0,120.0,10.57,0,0
2025-03-03,Bananas,60,42,60.0,0,53,5,11,0,30.0,18.0,660.0,198.0,10.29,0,0
2025-03-04,Bananas,60,42,60.0,0,42,4,12,0,30.0,18.0,720.0,216.0,10.14,0,0
2025-03-05,Bananas,60,42,60.0,0,30,3,9,0,30.0,18.0,540.0,162.0,11.29,0,0
2025-03-06,Bananas,60,42,48.0,20,21,2,19,0,30.0,6.0,912.0,114.0,11.29,0,0
2025-03-07,Bananas,60,42,48.0,20,2,1,2,0,30.0,6.0,96.0,12.0,12.29,0,0
2025-03-08,Bananas,60,42,60.0,0,49,5,11,1,30.0,18.0,660.0,198.0,11.14,0,0
2025-03-09,Bananas,60,42,60.0,0,38,4,7,1,30.0,18.0,420.0,126.0,10.57,0,0
2025-03-10,Bananas,60,42,60.0,0,31,3,9,0,30.0,18.0,540.0,162.0,10.14,0,0
2025-03-11,Bananas,60,42,48.0,20,22,2,17,0,30.0,6.0,816.0,102.0,9.86,0,0
2025-03-12,Bananas,60,42,60.0,0,5,1,5,0,30.0,18.0,300.0,90.0,10.57,0,0
2025-03-13,Bananas,60,42,60.0,0,47,5,7,0,30.0,18.0,420.0,126.0,10.0,0,0
2025-03-14,Bananas,60,42,60.0,0,40,4,5,0,30.0,18.0,300.0,90.0,8.29,0,0
2025-03-15,Bananas,60,42,60.0,0,35,3,10,1,30.0,18.0,600.0,180.0,8.71,0,0
2025-03-16,Bananas,60,42,60.0,0,25,2,12,1,30.0,18.0,720.0,216.0,8.57,0,0
2025-03-17,Bananas,60,42,54.0,10,13,1,10,0,30.0,12.0,540.0,120.0,9.29,3,126
2025-03-18,Bananas,60,42,60.0,0,57,5,10,0,30.0,18.0,600.0,180.0,9.43,0,0
2025-03-19,Bananas,60,42,60.0,0,47,4,8,0,30.0,18.0,480.0,144.0,8.43,0,0
2025-03-20,Bananas,60,42,60.0,0,39,3,6,0,30.0,18.0,360.0,108.0,8.86,0,0
2025-03-21,Bananas,60,42,54.0,10,33,2,13,0,30.0,12.0,702.0,156.0,8.71,0,0
2025-03-22,Bananas,60,42,42.0,30,20,1,20,1,30.0,0.0,840.0,0.0,9.86,0,0
2025-03-23,Bananas,60,42,60.0,0,56,5,9,1,30.0,18.0,540.0,162.0,11.29,0,0
2025-03-24,Bananas,60,42,60.0,0,47,4,10,0,30.0,18.0,600.0,180.0,10.86,0,0
2025-03-25,Bananas,60,42,60.0,0,37,3,7,0,30.0,18.0,420.0,126.0,10.86,0,0
2025-03-26,Bananas,60,42,57.0,5,30,2,19,0,30.0,15.0,1083.0,285.0,10.43,0,0
2025-03-27,Bananas,60,42,48.0,20,11,1,11,0,30.0,6.0,528.0,66.0,12.0,0,0
2025-03-28,Bananas,60,42,60.0,0,56,5,10,0,30.0,18.0,600.0,180.0,12.71,0,0
2025-03-29,Bananas,60,42,60.0,0,46,4,18,1,30.0,18.0,1080.0,324.0,12.29,0,0
2025-03-30,Bananas,60,42,60.0,0,28,3,4,1,30.0,18.0,240.0,72.0,12.0,0,0
